step,epoch,epoch_step,loss,learn_rate
500,2,128,0.1608147,0.005
1000,5,70,0.1645281,0.005
1500,8,12,0.1652675,0.005
2000,10,140,0.1741174,0.005
2500,13,82,0.1704039,0.005
3000,16,24,0.1783345,0.005
3500,18,152,0.1290141,0.005
4000,21,94,0.1508304,0.005
4500,24,36,0.1636215,0.005
5000,26,164,0.1379678,0.005
5500,29,106,0.1672827,0.005
6000,32,48,0.0969989,0.005
6500,34,176,0.1970196,0.005
7000,37,118,0.1567512,0.005
7500,40,60,0.1563425,0.005
8000,43,2,0.1889403,0.005
8500,45,130,0.2118132,0.005
9000,48,72,0.2119381,0.005
9500,51,14,0.1446033,0.005
10000,53,142,0.1799569,0.005
10500,56,84,0.1722946,0.005
11000,59,26,0.1920073,0.005
11500,61,154,0.1573520,0.005
12000,64,96,0.2522030,0.005
12500,67,38,0.1196430,0.005
13000,69,166,0.2132447,0.005
13500,72,108,0.1825910,0.005
14000,75,50,0.1424569,0.005
14500,77,178,0.1802458,0.005
15000,80,120,0.1923698,0.005
15500,83,62,0.1815243,0.005
16000,86,4,0.2062018,0.005
